"pID","Well","Name","Plate 1",,"treat"
2,"F5","hsa-miR-1258",1.050762773,"c1","c"
2,"H5","hsa-miR-125a-3p",0.992873882,"c1","c"
2,"G5","hsa-miR-125a-5p",1.04917914,"c1","c"
2,"A6","hsa-miR-125b",1.185508415,"c1","c"
2,"C6","hsa-miR-125b",1.145179786,"c1","c"
2,"B6","hsa-miR-125b-1*",1.069061996,"c1","c"
2,"D6","hsa-miR-125b-2*",1.034997338,"c1","c"
2,"F6","hsa-miR-126",1.106892114,"c1","c"
2,"E6","hsa-miR-126*",1.041718759,"c1","c"
2,"G6","hsa-miR-1260",1.037495856,"c1","c"
2,"H6","hsa-miR-1261",0.974609824,"c1","c"
2,"A7","hsa-miR-1262",1.136065337,"c1","c"
2,"B7","hsa-miR-1263",1.165660837,"c1","c"
2,"C7","hsa-miR-1264",1.197262142,"c1","c"
2,"D7","hsa-miR-1265",1.069625032,"c1","c"
2,"E7","hsa-miR-1266",0.875266162,"c1","c"
2,"F7","hsa-miR-1267",1.163584603,"c1","c"
2,"G7","hsa-miR-1268",1.053754003,"c1","c"
2,"H7","hsa-miR-1269",0.983794597,"c1","c"
2,"B8","hsa-miR-127-3p",1.17495121,"c1","c"
2,"A8","hsa-miR-127-5p",1.140217804,"c1","c"
2,"C8","hsa-miR-1270",1.159819135,"c1","c"
2,"D8","hsa-miR-1271",1.091408197,"c1","c"
2,"E8","hsa-miR-1272",1.059490104,"c1","c"
2,"F8","hsa-miR-1273",1.125684049,"c1","c"
2,"G8","hsa-miR-1275",1.007337313,"c1","c"
2,"H8","hsa-miR-1276",1.043759834,"c1","c"
2,"A9","hsa-miR-1277",1.134657733,"c1","c"
2,"B9","hsa-miR-1278",1.155561067,"c1","c"
2,"C9","hsa-miR-1279",1.169109509,"c1","c"
2,"F9","hsa-miR-128",1.022258187,"c1","c"
2,"H9","hsa-miR-128",0.951489497,"c1","c"
2,"D9","hsa-miR-1280",1.036651295,"c1","c"
2,"E9","hsa-miR-1281",0.95071526,"c1","c"
2,"G9","hsa-miR-1282",0.983583515,"c1","c"
2,"A10","hsa-miR-1283",1.129238315,"c1","c"
2,"B10","hsa-miR-1283",1.070645629,"c1","c"
2,"C10","hsa-miR-1284",1.162141729,"c1","c"
2,"E10","hsa-miR-1285",0.973554068,"c1","c"
2,"D10","hsa-miR-1285",1.0869741,"c1","c"
2,"F10","hsa-miR-1286",1.079689636,"c1","c"
2,"G10","hsa-miR-1287",0.97816409,"c1","c"
2,"H10","hsa-miR-1288",1.0978481,"c1","c"
2,"B11","hsa-miR-1289",1.061636773,"c1","c"
2,"A11","hsa-miR-1289",1.182939469,"c1","c"
2,"E11","hsa-miR-129-5p",1.022750906,"c1","c"
2,"H11","hsa-miR-129-5p",1.041859518,"c1","c"
2,"F11","hsa-miR-129*",1.094117909,"c1","c"
2,"C11","hsa-miR-1290",1.111924413,"c1","c"
2,"D11","hsa-miR-1291",1.071349424,"c1","c"
2,"G11","hsa-miR-1292",0.942304612,"c1","c"
3,"A2","ath-miR416",1.046490085,"c1","c"
3,"B2","cel-miR-243",0.953509915,"c1","c"
3,"C2","hsa-miR-129-3p",0.86423758,"c1","c"
3,"D2","hsa-miR-1293",0.843915995,"c1","c"
3,"E2","hsa-miR-1294",0.809404981,"c1","c"
3,"F2","hsa-miR-1295",0.786872996,"c1","c"
3,"G2","hsa-miR-1296",0.824236165,"c1","c"
3,"H2","hsa-miR-1297",0.763235745,"c1","c"
3,"A3","hsa-miR-1298",0.975186229,"c1","c"
