playe #,well,name,c1,c2,c3,avg,v4,v5,v6,avg,Ratio,z-score vcr
1,B6,hsa-miR-105,0.934156896,0.925391378,1.021110455,0.960219576,0.551805488,0.596910783,0.486376568,0.545030946,0.567610742,-0.047821493
1,E6,hsa-miR-105*,0.962897614,0.932587957,1.026873981,0.974119851,0.55613539,0.677095361,0.566820598,0.600017116,0.615958207,0.459234014
1,C6,hsa-miR-105*,0.92903061,0.937792226,1.11205308,0.992958639,0.562597971,0.590934921,0.53990584,0.564479577,0.568482468,0.150912154
1,F6,hsa-miR-106a,0.936005706,0.969180756,1.115470995,1.006885819,0.573551984,0.709540536,0.552080244,0.611724255,0.607540838,0.557991623
1,G6,hsa-miR-106a*,0.843060614,0.900345642,1.00857825,0.917328169,0.57600778,0.719567864,0.477559667,0.591045103,0.644311516,0.344234188
1,H6,hsa-miR-106b,0.909996207,0.938890041,0.897999517,0.915628588,0.548380297,0.67203107,0.563244691,0.594552019,0.649337545,0.407361861
1,A7,hsa-miR-106b*,1.197067074,0.981703632,1.171497536,1.116756081,0.583633556,0.603730706,0.589722685,0.592362316,0.530431243,0.423481272
1,B7,hsa-miR-107,1.045590142,1.015938184,0.993331733,1.018286686,0.553421111,0.521891798,0.524237369,0.533183426,0.523608364,-0.124142428
1,C7,hsa-miR-10a,1.131098011,1.041837823,1.108534657,1.093823497,0.581920986,0.520169953,0.5834171,0.561836013,0.513644125,0.164276664
1,D7,hsa-miR-10a*,1.038699095,1.034112632,1.075327522,1.04937975,0.540140563,0.524525225,0.515147518,0.526604435,0.501824469,-0.191476293
1,E7,hsa-miR-10b,1.056094816,0.966700553,1.112957818,1.045251062,0.539558918,0.55643025,0.605336524,0.567108564,0.542557271,0.197648265
1,F7,hsa-miR-10b*,1.126770011,0.982150871,1.04285767,1.050592851,0.57006221,0.571488036,0.552844547,0.564798264,0.53759957,0.165041589
1,H7,hsa-miR-1178,1.110508809,1.04647289,1.083537186,1.080172962,0.556717035,0.553898084,0.563817928,0.558144349,0.516717571,0.108511981
1,A8,hsa-miR-1179,1.104542264,1.005244952,1.074221761,1.061336326,0.609031401,0.617809394,0.616036955,0.614292583,0.578791631,0.635344758
1,B8,hsa-miR-1180,1.082398454,1.129619916,1.015782662,1.075933677,0.533548765,0.47104635,0.528604878,0.511066664,0.474998297,-0.31701115
1,C8,hsa-miR-1181,1.159880694,1.240658645,1.112455244,1.170998194,0.581436288,0.708764048,0.580359841,0.623520059,0.532468848,0.676864635
1,D8,hsa-miR-1182,1.159166402,1.006098792,1.055792039,1.073685744,0.563922791,0.78506599,0.577056927,0.642015236,0.597954513,0.819706819
1,E8,hsa-miR-1183,1.095970458,1.091644657,1.033843789,1.073819635,0.548800411,0.747387648,0.62384385,0.640010636,0.596013162,0.821458125
1,F8,hsa-miR-1184,1.217698241,1.004757058,1.17471431,1.13238987,0.588092719,0.751337806,0.57782123,0.639083918,0.564367393,0.808891679
1,G8,hsa-miR-1185,0.961426928,0.921406823,1.047347777,0.976727176,0.579465234,0.766564462,0.55743046,0.634486719,0.649604858,0.754175006
1,H8,hsa-miR-1185,1.083238769,1.076479039,1.039640791,1.066452866,0.550319081,0.72264018,0.564172766,0.612377342,0.574218853,0.557659154
1,A9,hsa-miR-1197,1.184839733,1.12295183,1.203263779,1.17035178,0.649422415,0.530534821,0.649421069,0.609792768,0.521033742,0.638944833
1,C9,hsa-miR-1200,1.215009043,1.073185579,1.09335529,1.127183304,0.575103018,0.795599674,0.589176786,0.653293159,0.57958023,0.926825709
1,D9,hsa-miR-1202,1.056262868,1.067168188,0.980330424,1.03458716,0.541885453,0.731283203,0.588357846,0.620508834,0.599764677,0.634709333
