Name,x,y,z,Color
hsa-miR-1295,0.850484354,0.92985312,0.692906226,black
hsa-miR-590-3p,0.851850384,0.781631397,0.638058737,red
hsa-miR-379,0.851990844,0.973596464,0.868141049,black
hsa-miR-545*,0.85202417,0.772686356,0.727383109,red
hsa-miR-423-3p,0.852184255,0.959330349,0.937483185,black
hsa-miR-671-5p,0.853072842,0.736960023,0.741112685,red
hsa-miR-1250,0.853130685,0.844621773,0.617387844,red
hsa-miR-15a*,0.853419848,0.949656595,0.893048319,black
hsa-miR-1256,0.854070428,1.085192618,0.792363588,black
hsa-miR-106a*,0.856279649,0.98679816,0.880734388,black
hsa-miR-340*,0.856882302,1.091162453,0.967418686,black
hsa-miR-141*,0.856924626,1.215227788,0.898755389,black
hsa-miR-151-5p,0.857188907,0.932804141,0.873343377,black
hsa-miR-744*,0.860035519,0.992972471,0.99048352,black
hsa-miR-548f,0.860144672,0.877667988,0.818409454,black
hsa-miR-588,0.860860694,0.918560592,0.741988063,black
hsa-miR-155*,0.861587792,0.816920576,0.760941738,red
hsa-miR-183,0.861603813,0.945589593,0.880777435,black
hsa-miR-1293,0.862747128,1.073337012,0.788458832,black
hsa-miR-562,0.863506125,0.962072526,0.893622867,black
hsa-miR-18a,0.863656403,0.993175388,0.922903003,black
hsa-miR-1272,0.863848546,0.987124787,0.712599994,black
hsa-miR-641,0.864068773,1.233068563,0.992340925,black
hsa-miR-122*,0.864106676,1.078184428,0.953581769,black
hsa-miR-1825,0.86419404,0.97168237,0.902368993,black
hsa-miR-198,0.864340795,0.887560608,0.810355044,black
hsa-miR-642a,0.865960716,1.128815295,0.906455904,black
hsa-miR-450a,0.86654279,1.124275875,1.080467447,black
hsa-miR-337-3p,0.867167865,1.076067944,0.942720063,black
hsa-miR-9*,0.867303307,1.059876273,1.048360382,black
hsa-miR-376c,0.867488425,1.007788453,0.882575608,black
hsa-miR-1297,0.867627574,1.097645881,0.801780234,black
hsa-miR-369-5p,0.86789318,1.001168053,0.876368863,black
hsa-miR-199a-3p,0.868431537,0.925969188,0.841440247,black
hsa-miR-26a-1*,0.868579657,1.156181894,1.061162563,black
hsa-miR-622,0.868581459,0.963463036,0.771341131,black
hsa-miR-331-3p,0.868600726,0.676618065,0.591792739,red
hsa-miR-140-5p,0.86880958,1.206958564,0.880428716,black
hsa-miR-105,0.868841694,0.888583673,0.781609664,red
hsa-miR-342-3p,0.868851208,0.964170406,0.843052497,black
hsa-miR-541*,0.870080132,0.864210725,0.796658662,red
hsa-miR-16,0.871148474,0.85524959,0.787901274,red
hsa-let-7a*,0.871360399,0.988691388,0.867151896,black
hsa-miR-199a-5p,0.871429815,0.951712898,0.861858308,black
hsa-miR-545,0.871928994,0.913511599,0.840320251,black
hsa-miR-1305,0.872636153,1.084005264,0.787271679,black
hsa-miR-194,0.873350551,0.97093775,0.892223989,black
hsa-miR-9*,0.873370363,0.816861893,0.802373578,black
hsa-miR-145*,0.873493707,1.289382253,0.935509813,black
hsa-miR-18b,0.873595296,0.99366113,0.912849375,black
hsa-miR-638,0.873730808,0.928331442,0.738834893,black
hsa-miR-187,0.873978713,0.98788387,0.907143823,black
hsa-miR-605,0.874009959,0.936925377,0.745436421,black
hsa-miR-155,0.874998969,0.813607689,0.746240148,red
hsa-miR-34a*,0.875015488,0.889883064,0.772615528,red
hsa-miR-649,0.875346825,0.973253719,0.953833001,black
hsa-miR-631,0.875562483,1.058727376,0.840850886,black
hsa-miR-1294,0.876635594,1.103450223,0.797737643,black
hsa-miR-548b-3p,0.877123688,0.944771082,0.86392817,black
hsa-miR-577,0.877693154,0.970398289,0.76882819,black
hsa-miR-141,0.877753103,1.222721757,0.882839399,black
hsa-miR-601,0.878151142,0.911144354,0.721505931,black
hsa-miR-1257,0.878293321,1.090434836,0.774232684,black
hsa-let-7d,0.878552896,0.759082261,0.660318055,red
hsa-miR-548d-5p,0.878705276,0.948008067,0.865327851,black
hsa-miR-548e,0.879044023,0.965351388,0.880819018,black
hsa-miR-1307,0.879269058,1.060475535,0.764372938,black
hsa-miR-130b,0.879448609,0.998411202,0.719491087,black
hsa-miR-346,0.879600815,0.957556091,0.827036794,black
hsa-miR-563,0.879779093,0.931644894,0.849353838,black
hsa-miR-433,0.879854399,0.98091391,0.928429417,black
hsa-miR-651,0.880348642,0.97157225,0.94677512,black
hsa-miR-1976,0.88081568,0.752507801,0.674199306,red
hsa-miR-1827,0.881433012,1.018130199,0.927011486,black
hsa-miR-454,0.881625093,1.218333092,1.150829289,black
hsa-let-7d*,0.882216976,0.924914895,0.801232594,black
hsa-miR-769-3p,0.882571252,0.911607345,0.886103539,black
hsa-miR-1322,0.882802765,1.136378212,0.815803667,black
hsa-miR-424*,0.883041335,0.980040661,0.924255129,black
hsa-miR-187*,0.883107002,1.001192976,0.909862098,black
hsa-miR-331-5p,0.883347584,0.940663095,0.809000354,black
hsa-miR-1911,0.884621104,0.939341797,0.852192012,black
hsa-miR-634,0.884693409,0.94125743,0.739839668,black
hsa-miR-335,0.88524019,0.933965733,0.801523114,black
hsa-miR-548m,0.885433639,0.90015089,0.815400889,black
hsa-miR-497*,0.885850947,1.055686418,0.992437324,black
hsa-miR-659,0.886262056,0.909996298,0.880853943,black
hsa-let-7e,0.88668098,0.847855267,0.730779868,red
hsa-miR-548a-3p,0.887152374,0.949361292,0.858312,black
hsa-miR-619,0.887752818,0.906976637,0.710437746,black
hsa-miR-330-3p,0.888328432,0.884652108,0.756563153,red
hsa-miR-425,0.889227745,0.900247024,0.843096911,black
hsa-miR-299-5p,0.889879082,1.069020064,0.957679668,black
hsa-miR-551a,0.890106437,0.913165617,0.822847762,black
hsa-miR-625*,0.890299232,0.834520387,0.651812882,red
hsa-miR-1302,0.89044589,1.097900751,0.781415439,black
hsa-miR-133b,0.890662442,1.057263277,0.75230933,black
hsa-miR-190,0.891381535,0.957789334,0.862337894,black
hsa-miR-652,0.892376609,0.850106849,0.817244056,black
hsa-miR-671-3p,0.892888676,0.770479802,0.740270387,red
hsa-miR-100*,0.892908769,0.935896946,0.801038126,black
hsa-miR-664,0.893277501,1.034854896,0.99384692,black
hsa-miR-374b*,0.893470264,0.940906031,0.800041252,black
hsa-miR-200c*,0.893691112,1.087031078,0.959879803,black
hsa-miR-876-3p,0.893972162,0.873093891,0.837844431,black
hsa-miR-339-3p,0.894063231,0.908097929,0.771632804,black
hsa-miR-18a*,0.89588786,1.016639976,0.910719507,black
hsa-miR-191,0.895909736,0.949772604,0.850798058,black
hsa-miR-539,0.896064297,0.797880521,0.714184749,red
hsa-miR-627,0.896206846,0.876681083,0.680229349,red
hsa-miR-182,0.896540075,0.87913884,0.786971253,red
hsa-miR-1914*,0.896738329,0.920882933,0.82415671,black
hsa-miR-125a-5p,0.897096382,1.0922099,0.759238754,black
hsa-miR-132*,0.897727411,0.964848194,0.681147147,black
hsa-miR-543,0.897729122,0.897235586,0.801628335,black
hsa-miR-424,0.898285948,0.930024383,0.86220103,black
hsa-miR-455-5p,0.89864828,0.946400589,0.87702922,black
hsa-miR-431*,0.89918687,0.920542616,0.852555677,black
hsa-miR-34b,0.899525779,0.813408803,0.686975874,red
hsa-miR-374a,0.899677634,1.046382092,0.883587586,black
hsa-miR-186*,0.900440712,0.998364171,0.889825756,black
hsa-miR-620,0.900531335,1.092181448,0.843369622,black
hsa-miR-1908,0.901036769,1.025806493,0.91367983,black
hsa-miR-501-3p,0.901287356,1.070313049,0.98895459,black
hsa-miR-580,0.901810778,1.083705663,0.835637476,black
hsa-miR-616*,0.901865609,0.902663108,0.695994575,black
hsa-miR-449a,0.901880639,1.077235757,0.994696307,black
hsa-miR-628-5p,0.902588978,1.170948696,0.902131461,black
hsa-miR-1248,0.902971344,0.97700994,0.674739878,black
hsa-miR-429,0.903046797,1.047399645,0.965897349,black
hsa-miR-1255a,0.905321683,1.066593169,0.734695263,black
hsa-miR-369-3p,0.905540403,0.994125043,0.834025662,black
hsa-let-7a,0.90558272,0.939316726,0.792713353,black
hsa-miR-382,0.90562523,0.983638695,0.825150797,black
