Temperature(øC),1,2,3,4,5,6,7,8,9,10,11,12
24.3,116.561,105.965,249.017,264.911,455.647,593.401,8604.318,111151.484,131072.813,132323.187,131634.422,102393.516
,190.736,180.14,317.894,397.367,423.858,874.207,8768.563,96756.203,111935.617,119480.289,116587.461,118595.484
,127.157,137.754,254.315,418.56,450.349,958.979,7984.426,118558.398,107304.969,120900.219,120826.039,108274.547
,153.649,211.929,312.595,349.683,317.894,588.103,7433.411,112083.969,127083.242,122664.523,114521.156,109816.328
,121.859,121.859,259.613,407.963,402.665,805.33,10384.522,120126.672,124089.75,144562.094,129096.57,125514.969
,111.263,158.947,286.104,423.858,413.262,932.488,11327.606,126569.32,128868.75,129515.133,133038.453,124932.164
,100.666,196.034,301.999,397.367,556.314,853.014,6394.958,115215.219,130293.969,131009.234,118516.016,135237.219
,158.947,164.245,349.683,466.244,513.928,784.137,5488.962,115427.148,120614.109,131750.984,144249.5,134204.062
